speaker1,statement1,speaker2,statement2,label
Savannah Guthrie,"It’s nothing but noise. What? Okay. All right, ladies and gentlemen, not withstanding a little, few technical difficulties, we’re thrilled to have you tonight. And we are very honored by the presence of our president, Donald Trump, who is going to walk in right now. We are about 30 seconds from air, so it’ll be just in time. Mr. President.",President Trump,"I’m feeling great, I don’t know about you. How is everyone feeling?",Neutral
Savannah Guthrie,"It’s nothing but noise. What? Okay. All right, ladies and gentlemen, not withstanding a little, few technical difficulties, we’re thrilled to have you tonight. And we are very honored by the presence of our president, Donald Trump, who is going to walk in right now. We are about 30 seconds from air, so it’ll be just in time. Mr. President.",President Trump,"It’s great to be back in my home state, Florida, to make my official return to the campaign trail.",Counterargument
Savannah Guthrie,"Tonight, Donald Trump in the arena. His first prime time network appearance since falling ill with Coronavirus.",President Trump,"I’m feeling great, I don’t know about you. How is everyone feeling?",Neutral
Savannah Guthrie,"Tonight, Donald Trump in the arena. His first prime time network appearance since falling ill with Coronavirus.",President Trump,"It’s great to be back in my home state, Florida, to make my official return to the campaign trail.",Neutral
Savannah Guthrie,"Tonight, Donald Trump in the arena. His first prime time network appearance since falling ill with Coronavirus.",President Trump,My goal is to fight for you and fight for your family.,Neutral
Savannah Guthrie,"With tonight’s debate canceled, the President faces our questions live and hears from voters about their concerns in the battleground state of Florida.",President Trump,"It’s great to be back in my home state, Florida, to make my official return to the campaign trail.",Neutral
Savannah Guthrie,"With tonight’s debate canceled, the President faces our questions live and hears from voters about their concerns in the battleground state of Florida.",President Trump,My goal is to fight for you and fight for your family.,Neutral
Savannah Guthrie,"With tonight’s debate canceled, the President faces our questions live and hears from voters about their concerns in the battleground state of Florida.",President Trump,"That was very well stated, I have to say. Good job.",Neutral
Savannah Guthrie,"With just 19 days to go, the President makes his case.",President Trump,My goal is to fight for you and fight for your family.,Counterargument
Savannah Guthrie,"With just 19 days to go, the President makes his case.",President Trump,"That was very well stated, I have to say. Good job.",Neutral
Savannah Guthrie,"With just 19 days to go, the President makes his case.",President Trump,"Thank you, thank you.",Neutral
Savannah Guthrie,"Hi everybody, and good evening. It’s good to have you with us, and welcome to Miami and our town hall with President Donald Trump. And we want to say right off the top, this is not how things were supposed to go tonight. This was supposed to be a town hall debate between Donald Trump and Joe Biden. But after the President contracted COVID, the debate commission announced it would have to be a virtual debate because of health concerns. The President then said he would not participate in a virtual debate. At that point, Joe Biden scheduled a town hall tonight in Pennsylvania on another network, and now the President is doing the same, his own town hall with the same venue format and time as NBC’s town hall with Joe Biden last week. So the two candidates go head to head tonight, though, not face to face, each in a key battleground state.",President Trump,"That was very well stated, I have to say. Good job.",Restatement
Savannah Guthrie,"Hi everybody, and good evening. It’s good to have you with us, and welcome to Miami and our town hall with President Donald Trump. And we want to say right off the top, this is not how things were supposed to go tonight. This was supposed to be a town hall debate between Donald Trump and Joe Biden. But after the President contracted COVID, the debate commission announced it would have to be a virtual debate because of health concerns. The President then said he would not participate in a virtual debate. At that point, Joe Biden scheduled a town hall tonight in Pennsylvania on another network, and now the President is doing the same, his own town hall with the same venue format and time as NBC’s town hall with Joe Biden last week. So the two candidates go head to head tonight, though, not face to face, each in a key battleground state.",President Trump,"Thank you, thank you.",Restatement
Savannah Guthrie,"Hi everybody, and good evening. It’s good to have you with us, and welcome to Miami and our town hall with President Donald Trump. And we want to say right off the top, this is not how things were supposed to go tonight. This was supposed to be a town hall debate between Donald Trump and Joe Biden. But after the President contracted COVID, the debate commission announced it would have to be a virtual debate because of health concerns. The President then said he would not participate in a virtual debate. At that point, Joe Biden scheduled a town hall tonight in Pennsylvania on another network, and now the President is doing the same, his own town hall with the same venue format and time as NBC’s town hall with Joe Biden last week. So the two candidates go head to head tonight, though, not face to face, each in a key battleground state.",President Trump,"Nothing whatsoever, I’m great, I feel good. I was in North Carolina today and did a big rally with tremendous turnout, and I just feel really good. Florida, Pennsylvania, were- They said, “Let’s go to the hospital.” I said, “That’s okay. I’m going to respond to what you say.” And we went over to Walter Reed, where you have tremendous professionals. They gave me Regeneron and Remdeceiver both. And all I know is I felt good the following day, I felt really good.",Neutral
Savannah Guthrie,"And tonight, the President will be taking questions from voters here in Miami, who we should mention are socially distanced and they’re wearing masks. And I should say, this audience looks a bit like America, it’s divided. Some here voted for the president in 2016 and plan to again, some support Joe Biden, and some say they are truly undecided. We’re going to get a mix of questions on a range of topics, and we’re going to get to those questions in a moment. But first with all of that ado, welcome, Mr. President, and thank you for being here.",President Trump,"Thank you, thank you.",Neutral
Savannah Guthrie,"And tonight, the President will be taking questions from voters here in Miami, who we should mention are socially distanced and they’re wearing masks. And I should say, this audience looks a bit like America, it’s divided. Some here voted for the president in 2016 and plan to again, some support Joe Biden, and some say they are truly undecided. We’re going to get a mix of questions on a range of topics, and we’re going to get to those questions in a moment. But first with all of that ado, welcome, Mr. President, and thank you for being here.",President Trump,"Nothing whatsoever, I’m great, I feel good. I was in North Carolina today and did a big rally with tremendous turnout, and I just feel really good. Florida, Pennsylvania, were- They said, “Let’s go to the hospital.” I said, “That’s okay. I’m going to respond to what you say.” And we went over to Walter Reed, where you have tremendous professionals. They gave me Regeneron and Remdeceiver both. And all I know is I felt good the following day, I felt really good.",Counterargument
